community,pop_total,ass_ind,burg_ind,crimSex_ind,hom_ind,robb_ind,ass_rel,burg_rel,crimSex_rel,hom_rel,robb_rel
DOUGLAS,20667,100.6,23.7,6.8,1.5,64.8,1.7,0.5,1.5,1,1.9
OAKLAND,8113,74,32,2.5,0,28.3,1.3,0.6,0.6,0,0.8
FULLER PARK,3527,150.3,87.9,11.3,2.8,107.7,2.6,1.7,2.6,1.9,3.2
GRAND BOULEVARD,25517,108.6,65.8,4.3,3.1,64.3,1.9,1.3,1,2.1,1.9
KENWOOD,21359,39.3,34.2,1.4,0,40.3,0.7,0.7,0.3,0,1.2
LINCOLN SQUARE,43642,20.9,28.4,2.3,0,7.1,0.4,0.6,0.5,0,0.2
WASHINGTON PARK,15707,142.6,119.7,8.9,2.5,100.6,2.4,2.4,2,1.7,3
HYDE PARK,31440,19.7,35.3,2.5,1,26.1,0.3,0.7,0.6,0.7,0.8
WOODLAWN,28500,112.6,94.7,8.1,1.4,63.5,1.9,1.9,1.8,1,1.9
ROGERS PARK,62008,40.3,27.4,4.4,1,18.2,0.7,0.5,1,0.7,0.5
JEFFERSON PARK,27911,23.6,35.1,0.7,0.4,7.5,0.4,0.7,0.2,0.2,0.2
FOREST GLEN,19986,10.5,35,0.5,0,1,0.2,0.7,0.1,0,0
NORTH PARK,21589,20.4,48.6,1.9,0,9.3,0.3,1,0.4,0,0.3
ALBANY PARK,56787,25.4,22.9,1.9,0.4,15,0.4,0.5,0.4,0.2,0.4
PORTAGE PARK,69656,26,34,1.7,0.3,8.8,0.4,0.7,0.4,0.2,0.3
IRVING PARK,58127,23.2,30.3,2.1,0.2,14.8,0.4,0.6,0.5,0.1,0.4
DUNNING,45176,19,27.7,0.7,0.7,4.9,0.3,0.6,0.2,0.5,0.1
MONTCLARE,15343,22.2,19.6,2.6,0,10.4,0.4,0.4,0.6,0,0.3
BELMONT CRAGIN,80357,42.2,37.7,2.5,0.6,18,0.7,0.8,0.6,0.4,0.5
WEST RIDGE,75814,25.9,35.1,1.8,0.5,14,0.4,0.7,0.4,0.4,0.4
HERMOSA,26860,42.1,40.2,3,1.1,15.6,0.7,0.8,0.7,0.8,0.5
AVONDALE,44922,24.5,33.8,3.1,0,15.6,0.4,0.7,0.7,0,0.5
LOGAN SQUARE,78236,32.5,45.9,2.8,0.9,20.7,0.6,0.9,0.6,0.6,0.6
HUMBOLDT PARK,56766,93.9,49.9,6.7,4.6,55.3,1.6,1,1.5,3.1,1.6
WEST TOWN,87671,38.4,77.1,3.2,0.6,29.2,0.7,1.5,0.7,0.4,0.9
AUSTIN,99630,113.1,58.7,7.8,3.7,74,1.9,1.2,1.8,2.5,2.2
WEST GARFIELD PARK,18488,154.7,71.4,13,10.8,128.7,2.7,1.4,3,7.4,3.8
EAST GARFIELD PARK,22586,174.9,73.9,13.3,4.4,97,3,1.5,3,3,2.9
NEAR WEST SIDE,58240,76.1,41.4,5,1.2,47.4,1.3,0.8,1.1,0.8,1.4
NORTH LAWNDALE,38100,138.6,101.3,9.7,2.9,103.4,2.4,2,2.2,2,3.1
UPTOWN,63794,33.1,17.4,3.3,0.8,16.1,0.6,0.3,0.8,0.5,0.5
SOUTH LAWNDALE,81426,40.7,29.4,2.3,1.7,23.6,0.7,0.6,0.5,1.2,0.7
LOWER WEST SIDE,36678,46.1,31.9,2.7,0.5,10.9,0.8,0.6,0.6,0.4,0.3
NEAR SOUTH SIDE,23070,32.5,24.7,3.5,0,17.3,0.6,0.5,0.8,0,0.5
ARMOUR SQUARE,16127,29.8,29.8,2.5,0.6,47.7,0.5,0.6,0.6,0.4,1.4
NORWOOD PARK,39880,18.1,22.8,1.3,0.3,2.8,0.3,0.5,0.3,0.2,0.1
NEAR NORTH SIDE,82249,38.5,18.8,5,0.6,20.5,0.7,0.4,1.1,0.4,0.6
LOOP,33447,81.3,23.6,6,0.3,46.6,1.4,0.5,1.4,0.2,1.4
SOUTH SHORE,53365,118.2,126.1,9.4,2.6,72.1,2,2.5,2.1,1.8,2.1
CHATHAM,34147,108.9,106.9,8.8,3.8,79.1,1.9,2.1,2,2.6,2.3
AVALON PARK,10921,83.3,64.1,10.1,0.9,76.9,1.4,1.3,2.3,0.6,2.3
SOUTH CHICAGO,32557,129,96.8,8.3,4.6,53.1,2.2,1.9,1.9,3.1,1.6
BURNSIDE,3595,94.6,72.3,2.8,8.3,44.5,1.6,1.4,0.6,5.7,1.3
CALUMET HEIGHTS,14903,83.9,53,4.7,0.7,42.9,1.4,1.1,1.1,0.5,1.3
ROSELAND,47145,119.8,89.5,7.4,2.5,70,2.1,1.8,1.7,1.7,2.1
NORTH CENTER,37478,14.1,39,2.1,0,6.9,0.2,0.8,0.5,0,0.2
PULLMAN,7651,163.4,56.2,5.2,1.3,39.2,2.8,1.1,1.2,0.9,1.2
SOUTH DEERING,15459,92.5,82.8,6.5,3.2,54.3,1.6,1.6,1.5,2.2,1.6
EAST SIDE,23042,39.9,37.3,1.7,0.9,7.4,0.7,0.7,0.4,0.6,0.2
WEST PULLMAN,30513,106.5,95.4,6.6,2.3,52.8,1.8,1.9,1.5,1.6,1.6
RIVERDALE,6643,197.2,79.8,6,4.5,55.7,3.4,1.6,1.4,3.1,1.6
HEGEWISCH,9894,55.6,36.4,2,0,7.1,1,0.7,0.5,0,0.2
GARFIELD RIDGE,35613,25.3,35.7,3.7,0.3,11.2,0.4,0.7,0.8,0.2,0.3
ARCHER HEIGHTS,14384,33.4,50.1,4.2,0,23.6,0.6,1,1,0,0.7
BRIGHTON PARK,46471,34.4,52.9,2.6,0.4,14.4,0.6,1.1,0.6,0.3,0.4
