community,pop_total,Assaults,Burglaries,Sexual assaults,Homicides,Robberies,ass_rel,burg_rel,crimSex_rel,hom_rel,robb_rel,ID
DOUGLAS,DOUGLAS,100.6,23.7,6.8,1.5,64.8,1.7,0.5,1.5,1,1.9,1
OAKLAND,OAKLAND,74,32,2.5,0,28.3,1.3,0.6,0.6,0,0.8,2
FULLER PARK,FULLER PARK,150.3,87.9,11.3,2.8,107.7,2.6,1.7,2.6,1.9,3.2,3
GRAND BOULEVARD,GRAND BOULEVARD,108.6,65.8,4.3,3.1,64.3,1.9,1.3,1,2.1,1.9,4
KENWOOD,KENWOOD,39.3,34.2,1.4,0,40.3,0.7,0.7,0.3,0,1.2,5
LINCOLN SQUARE,LINCOLN SQUARE,20.9,28.4,2.3,0,7.1,0.4,0.6,0.5,0,0.2,6
WASHINGTON PARK,WASHINGTON PARK,142.6,119.7,8.9,2.5,100.6,2.4,2.4,2,1.7,3,7
HYDE PARK,HYDE PARK,19.7,35.3,2.5,1,26.1,0.3,0.7,0.6,0.7,0.8,8
WOODLAWN,WOODLAWN,112.6,94.7,8.1,1.4,63.5,1.9,1.9,1.8,1,1.9,9
ROGERS PARK,ROGERS PARK,40.3,27.4,4.4,1,18.2,0.7,0.5,1,0.7,0.5,10
JEFFERSON PARK,JEFFERSON PARK,23.6,35.1,0.7,0.4,7.5,0.4,0.7,0.2,0.2,0.2,11
FOREST GLEN,FOREST GLEN,10.5,35,0.5,0,1,0.2,0.7,0.1,0,0,12
NORTH PARK,NORTH PARK,20.4,48.6,1.9,0,9.3,0.3,1,0.4,0,0.3,13
ALBANY PARK,ALBANY PARK,25.4,22.9,1.9,0.4,15,0.4,0.5,0.4,0.2,0.4,14
PORTAGE PARK,PORTAGE PARK,26,34,1.7,0.3,8.8,0.4,0.7,0.4,0.2,0.3,15
IRVING PARK,IRVING PARK,23.2,30.3,2.1,0.2,14.8,0.4,0.6,0.5,0.1,0.4,16
DUNNING,DUNNING,19,27.7,0.7,0.7,4.9,0.3,0.6,0.2,0.5,0.1,17
MONTCLARE,MONTCLARE,22.2,19.6,2.6,0,10.4,0.4,0.4,0.6,0,0.3,18
BELMONT CRAGIN,BELMONT CRAGIN,42.2,37.7,2.5,0.6,18,0.7,0.8,0.6,0.4,0.5,19
WEST RIDGE,WEST RIDGE,25.9,35.1,1.8,0.5,14,0.4,0.7,0.4,0.4,0.4,20
HERMOSA,HERMOSA,42.1,40.2,3,1.1,15.6,0.7,0.8,0.7,0.8,0.5,21
AVONDALE,AVONDALE,24.5,33.8,3.1,0,15.6,0.4,0.7,0.7,0,0.5,22
LOGAN SQUARE,LOGAN SQUARE,32.5,45.9,2.8,0.9,20.7,0.6,0.9,0.6,0.6,0.6,23
HUMBOLDT PARK,HUMBOLDT PARK,93.9,49.9,6.7,4.6,55.3,1.6,1,1.5,3.1,1.6,24
WEST TOWN,WEST TOWN,38.4,77.1,3.2,0.6,29.2,0.7,1.5,0.7,0.4,0.9,25
AUSTIN,AUSTIN,113.1,58.7,7.8,3.7,74,1.9,1.2,1.8,2.5,2.2,26
WEST GARFIELD PARK,WEST GARFIELD PARK,154.7,71.4,13,10.8,128.7,2.7,1.4,3,7.4,3.8,27
EAST GARFIELD PARK,EAST GARFIELD PARK,174.9,73.9,13.3,4.4,97,3,1.5,3,3,2.9,28
NEAR WEST SIDE,NEAR WEST SIDE,76.1,41.4,5,1.2,47.4,1.3,0.8,1.1,0.8,1.4,29
NORTH LAWNDALE,NORTH LAWNDALE,138.6,101.3,9.7,2.9,103.4,2.4,2,2.2,2,3.1,30
UPTOWN,UPTOWN,33.1,17.4,3.3,0.8,16.1,0.6,0.3,0.8,0.5,0.5,31
SOUTH LAWNDALE,SOUTH LAWNDALE,40.7,29.4,2.3,1.7,23.6,0.7,0.6,0.5,1.2,0.7,32
LOWER WEST SIDE,LOWER WEST SIDE,46.1,31.9,2.7,0.5,10.9,0.8,0.6,0.6,0.4,0.3,33
NEAR SOUTH SIDE,NEAR SOUTH SIDE,32.5,24.7,3.5,0,17.3,0.6,0.5,0.8,0,0.5,34
ARMOUR SQUARE,ARMOUR SQUARE,29.8,29.8,2.5,0.6,47.7,0.5,0.6,0.6,0.4,1.4,35
NORWOOD PARK,NORWOOD PARK,18.1,22.8,1.3,0.3,2.8,0.3,0.5,0.3,0.2,0.1,36
NEAR NORTH SIDE,NEAR NORTH SIDE,38.5,18.8,5,0.6,20.5,0.7,0.4,1.1,0.4,0.6,37
LOOP,LOOP,81.3,23.6,6,0.3,46.6,1.4,0.5,1.4,0.2,1.4,38
SOUTH SHORE,SOUTH SHORE,118.2,126.1,9.4,2.6,72.1,2,2.5,2.1,1.8,2.1,39
CHATHAM,CHATHAM,108.9,106.9,8.8,3.8,79.1,1.9,2.1,2,2.6,2.3,40
AVALON PARK,AVALON PARK,83.3,64.1,10.1,0.9,76.9,1.4,1.3,2.3,0.6,2.3,41
SOUTH CHICAGO,SOUTH CHICAGO,129,96.8,8.3,4.6,53.1,2.2,1.9,1.9,3.1,1.6,42
BURNSIDE,BURNSIDE,94.6,72.3,2.8,8.3,44.5,1.6,1.4,0.6,5.7,1.3,43
CALUMET HEIGHTS,CALUMET HEIGHTS,83.9,53,4.7,0.7,42.9,1.4,1.1,1.1,0.5,1.3,44
ROSELAND,ROSELAND,119.8,89.5,7.4,2.5,70,2.1,1.8,1.7,1.7,2.1,45
NORTH CENTER,NORTH CENTER,14.1,39,2.1,0,6.9,0.2,0.8,0.5,0,0.2,46
PULLMAN,PULLMAN,163.4,56.2,5.2,1.3,39.2,2.8,1.1,1.2,0.9,1.2,47
SOUTH DEERING,SOUTH DEERING,92.5,82.8,6.5,3.2,54.3,1.6,1.6,1.5,2.2,1.6,48
EAST SIDE,EAST SIDE,39.9,37.3,1.7,0.9,7.4,0.7,0.7,0.4,0.6,0.2,49
WEST PULLMAN,WEST PULLMAN,106.5,95.4,6.6,2.3,52.8,1.8,1.9,1.5,1.6,1.6,50
RIVERDALE,RIVERDALE,197.2,79.8,6,4.5,55.7,3.4,1.6,1.4,3.1,1.6,51
HEGEWISCH,HEGEWISCH,55.6,36.4,2,0,7.1,1,0.7,0.5,0,0.2,52
GARFIELD RIDGE,GARFIELD RIDGE,25.3,35.7,3.7,0.3,11.2,0.4,0.7,0.8,0.2,0.3,53
ARCHER HEIGHTS,ARCHER HEIGHTS,33.4,50.1,4.2,0,23.6,0.6,1,1,0,0.7,54
BRIGHTON PARK,BRIGHTON PARK,34.4,52.9,2.6,0.4,14.4,0.6,1.1,0.6,0.3,0.4,55
MCKINLEY PARK,MCKINLEY PARK,34.5,36.9,1.2,0.6,18.2,0.6,0.7,0.3,0.4,0.5,56
LAKE VIEW,LAKE VIEW,18.8,34.8,3,0,21.6,0.3,0.7,0.7,0,0.6,57
BRIDGEPORT,BRIDGEPORT,38.4,45.8,1.2,0.6,11.7,0.7,0.9,0.3,0.4,0.3,58
NEW CITY,NEW CITY,79.9,55.6,4.8,3.3,43.9,1.4,1.1,1.1,2.3,1.3,59
WEST ELSDON,WEST ELSDON,20.9,49.6,1.5,0,18.5,0.4,1,0.3,0,0.5,60
GAGE PARK,GAGE PARK,35.4,41.4,1.7,1.2,20,0.6,0.8,0.4,0.8,0.6,61
CLEARING,CLEARING,25.5,26.2,0.8,0.8,5.4,0.4,0.5,0.2,0.5,0.2,62
WEST LAWN,WEST LAWN,28.8,40.5,1.6,0.3,15.5,0.5,0.8,0.4,0.2,0.5,63
CHICAGO LAWN,CHICAGO LAWN,69,89.2,7.3,3.5,43.4,1.2,1.8,1.7,2.4,1.3,64
WEST ENGLEWOOD,WEST ENGLEWOOD,157,116.4,10.8,7.3,80.8,2.7,2.3,2.5,5,2.4,65
ENGLEWOOD,ENGLEWOOD,166.1,106.9,13,5.2,107.2,2.8,2.1,3,3.6,3.2,66
GREATER GRAND CROSSING,GREATER GRAND CROSSING,127.8,91.2,5.5,3,76.9,2.2,1.8,1.3,2.1,2.3,67
LINCOLN PARK,LINCOLN PARK,16.2,27.8,2.1,0.1,13.8,0.3,0.6,0.5,0.1,0.4,68
ASHBURN,ASHBURN,37.2,51.3,2.6,1.6,17.9,0.6,1,0.6,1.1,0.5,69
AUBURN GRESHAM,AUBURN GRESHAM,118.1,92.4,7,3,75.1,2,1.8,1.6,2,2.2,70
BEVERLY,BEVERLY,24.7,34.5,1.4,0,12.1,0.4,0.7,0.3,0,0.4,71
WASHINGTON HEIGHTS,WASHINGTON HEIGHTS,74.4,56.1,4.8,2.1,40.3,1.3,1.1,1.1,1.4,1.2,72
MOUNT GREENWOOD,MOUNT GREENWOOD,26.2,14.1,0,0,2.1,0.4,0.3,0,0,0.1,73
MORGAN PARK,MORGAN PARK,55.5,42.8,4,2,23.8,1,0.9,0.9,1.4,0.7,74
OHARE,OHARE,45.5,13,2.2,0.7,4.3,0.8,0.3,0.5,0.5,0.1,75
EDGEWATER,EDGEWATER,21,16.5,2.3,0.5,10.1,0.4,0.3,0.5,0.3,0.3,76
EDISON PARK,EDISON PARK,9.2,13.4,0,0,0.8,0.2,0.3,0,0,0,77
